_id,CODIGO,CAMINO,ETAPA,COORD_X,COORD_Y,TIPO_SENAL
147,147,Aragonés,A3 (Monreal-Puente la Reina/Gares),609976,4725672,Mojón
148,148,Aragonés,A3 (Monreal-Puente la Reina/Gares),609949,4725676,Mojón
149,149,Aragonés,A3 (Monreal-Puente la Reina/Gares),609877,4725690,Mojón
150,150,Aragonés,A3 (Monreal-Puente la Reina/Gares),609844,4725651,Señal Cruce Carretera
151,151,Aragonés,A3 (Monreal-Puente la Reina/Gares),609580,4725044,Mojón
152,152,Aragonés,A3 (Monreal-Puente la Reina/Gares),609573,4724944,Otros
153,153,Aragonés,A3 (Monreal-Puente la Reina/Gares),609547,4724922,Otros
154,154,Aragonés,A3 (Monreal-Puente la Reina/Gares),609509,4724938,Mojón
155,155,Aragonés,A3 (Monreal-Puente la Reina/Gares),609480,4724958,Mojón
156,156,Aragonés,A3 (Monreal-Puente la Reina/Gares),609398,4724881,Flecha Direccional
157,157,Aragonés,A3 (Monreal-Puente la Reina/Gares),609172,4724887,Mojón
158,158,Aragonés,A3 (Monreal-Puente la Reina/Gares),608129,4724898,Mojón
159,159,Aragonés,A3 (Monreal-Puente la Reina/Gares),607818,4725045,Mojón
160,160,Aragonés,A3 (Monreal-Puente la Reina/Gares),606681,4724932,Mojón
161,161,Aragonés,A3 (Monreal-Puente la Reina/Gares),606401,4724597,Mojón
162,162,Aragonés,A3 (Monreal-Puente la Reina/Gares),606132,4724638,Señal Cruce Carretera
163,163,Aragonés,A3 (Monreal-Puente la Reina/Gares),606090,4724645,Flecha Direccional
164,164,Aragonés,A3 (Monreal-Puente la Reina/Gares),606053,4724702,Señal Cruce Carretera
165,165,Aragonés,A3 (Monreal-Puente la Reina/Gares),605580,4725021,Mojón
166,166,Aragonés,A3 (Monreal-Puente la Reina/Gares),605124,4725098,Mojón
167,167,Aragonés,A3 (Monreal-Puente la Reina/Gares),603734,4725196,Mojón
168,168,Aragonés,A3 (Monreal-Puente la Reina/Gares),603254,4725193,Mojón
169,169,Aragonés,A3 (Monreal-Puente la Reina/Gares),602083,4725128,Mojón
170,170,Aragonés,A3 (Monreal-Puente la Reina/Gares),602043,4725150,Mojón
171,171,Aragonés,A3 (Monreal-Puente la Reina/Gares),602049,4725152,Mojón
172,172,Aragonés,A3 (Monreal-Puente la Reina/Gares),601495,4725394,Flecha Direccional
173,173,Aragonés,A3 (Monreal-Puente la Reina/Gares),601316,4725397,Mojón
174,174,Aragonés,A3 (Monreal-Puente la Reina/Gares),600764,4725764,Señal Cruce Carretera
175,175,Aragonés,A3 (Monreal-Puente la Reina/Gares),600753,4725824,Mojón
176,176,Aragonés,A3 (Monreal-Puente la Reina/Gares),600722,4726012,Mojón
177,177,Aragonés,A3 (Monreal-Puente la Reina/Gares),600121,4726148,Señal Cruce Carretera
178,178,Aragonés,A3 (Monreal-Puente la Reina/Gares),600089,4726160,Mojón
179,179,Aragonés,A3 (Monreal-Puente la Reina/Gares),600034,4726198,Señal Cruce Carretera
180,180,Aragonés,A3 (Monreal-Puente la Reina/Gares),599321,4725871,Señal Cruce Carretera
181,181,Aragonés,A3 (Monreal-Puente la Reina/Gares),622166,4729518,Panel informativo
182,182,Aragonés,A3 (Monreal-Puente la Reina/Gares),599217,4725830,Mojón
183,183,Aragonés,A3 (Monreal-Puente la Reina/Gares),599109,4725749,Señal Cruce Carretera
184,184,Aragonés,A3 (Monreal-Puente la Reina/Gares),598373,4725487,Mojón
185,185,Aragonés,A3 (Monreal-Puente la Reina/Gares),598016,4725358,Mojón
186,186,Aragonés,A3 (Monreal-Puente la Reina/Gares),597832,4725267,Mojón
187,187,Aragonés,A3 (Monreal-Puente la Reina/Gares),597738,4725377,Mojón
188,188,Aragonés,A3 (Monreal-Puente la Reina/Gares),597626,4725348,Mojón
189,189,Francés,F3 (Zubiri-Pamplona/Iruña),615169,4744093,Mojón
190,190,Francés,F3 (Zubiri-Pamplona/Iruña),614938,4744042,Mojón
191,191,Francés,F3 (Zubiri-Pamplona/Iruña),612735,4742335,Mojón
192,192,Francés,F3 (Zubiri-Pamplona/Iruña),612488,4742220,Otros
193,193,Francés,F3 (Zubiri-Pamplona/Iruña),612333,4742159,Otros
194,194,Francés,F3 (Zubiri-Pamplona/Iruña),612100,4742078,Otros
195,195,Francés,F3 (Zubiri-Pamplona/Iruña),611750,4742110,Mojón
196,196,Francés,F3 (Zubiri-Pamplona/Iruña),611713,4742098,Otros
197,197,Francés,F3 (Zubiri-Pamplona/Iruña),611493,4742013,Mojón
198,198,Francés,F3 (Zubiri-Pamplona/Iruña),611470,4742057,Flecha Direccional
199,199,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),608619,4738978,Mojón
200,200,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),608083,4737935,Mojón
201,201,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),607865,4737649,Mojón
202,202,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),607589,4737422,Mojón
203,203,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),607284,4737219,Flecha Direccional
204,204,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),606936,4736622,Señal Cruce Carretera
205,205,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),606915,4736611,Mojón
206,206,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),606859,4736553,Señal Cruce Carretera
207,207,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),606781,4736507,Mojón
208,208,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),606727,4736462,Señal Cruce Carretera
209,209,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),606365,4736081,Mojón
210,210,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),606128,4735839,Mojón
211,211,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),605889,4735730,Mojón
212,212,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),605655,4735517,Mojón
213,213,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),605631,4735483,Flecha Direccional
214,214,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),605539,4735382,Mojón
